CS   1411 ;
MATH 1451 ;
ENGL 1301 ;
CS   1412 | CS   1411 ;
MATH 1452 | MATH 1451 ;
PHYS 1408 | MATH 1451 ;
ENGL 1302 | ENGL 1301 ;
CS   2413 | CS   1412 ;
CS   1382 | CS   1411 ;
ECE  2372 | MATH 1451 ;
MATH 2450 | MATH 1452 ;
PHYS 2401 | PHYS 1408 ;
CS   3350 | CS   1412 , ECE  2372 ;
CS   2365 | CS   2413 ;
ENGR 2392 ;
POLS 1301 ;
MATH 2360 | MATH 1452 ;
ENGL 2311 | ENGL 1301 , ENGL 1302 ;
CS   3361 | CS   2413 ;
CS   3364 | CS   2413 , CS   1382 , MATH 2360 ;
MATH 3342 | MATH 2450 ;
POLS 2306 ;
CS   3365 | CS   2365 , CS   2413 , MATH 3342 ;
CS   3375 | CS   2350 ;
CS   3383 | CS   1382 ;
CS   4352 | CS   3364 , CS 3375 ;
CS   4354 | CS   3364 ;
CS   4365 | CS   3365 ;
CS   4366 | CS   4365 ;
