CS   1411 | 001 | Programming Principles I | Procedural programming. Discipline of computer science; analysis, design, implementation, debugging, and testing of software. Introduction to field for majors. | 591092 | 10294 | Susan Mengel | x | 150 ;
CS   1411 | 501 | 10294  | 591092 | Susan Mengel | Johnathan Gonzales | 150 ;
MATH 1451 | 001 | Calculus I with Applications | Differentation of algebraic and transcendental functions, differentials, indefinite integrals, definite integrals. Applications and problem-solving are strongly emphasized. | 102049 | x | David Matheson | x | 150 ;
MATH 1451 | 002 | Calculus I with Applications | Differentation of algebraic and transcendental functions, differentials, indefinite integrals, definite integrals. Applications and problem-solving are strongly emphasized. | 102031 | x | Gary Aguilar | x | 150 ;
ENGL 1301 | 001 | Essentials of College Rhetoric | Focuses on the writing process and requires students to write extensively in a variety of modes and styles. | 491294 | x | Tracy Anglo | x | 75 ;
ENGL 1301 | 002 | Essentials of College Rhetoric | Focuses on the writing process and requires students to write extensively in a variety of modes and styles. | 429418 | x | Robert Scott | x | 75 ;
ENGL 1301 | 003 | Essentials of College Rhetoric | Focuses on the writing process and requires students to write extensively in a variety of modes and styles. | 437124 | x | Tracy Anglo | x | 75 ;
ENGL 1301 | 004 | Essentials of College Rhetoric | Focuses on the writing process and requires students to write extensively in a variety of modes and styles. | 447126 | x | Robert Scott | x | 75 ;
ENGL 1301 | 005 | Essentials of College Rhetoric | Focuses on the writing process and requires students to write extensively in a variety of modes and styles. | 475561 | x | Isaac Ivarson | x | 75 ;
CS   1412 | 001 | Programming Principles | Advanced procedural programming. Topics include recursive functions, parameter passing, structures, records, memory allocation, exception handling, and abstract data types. | 558182 | 10318 | Susan Mengel | x | 150 ;
CS   1412 | 501 | 10318 | 558182 | Susan Mengel | Johnathan Gonzales | 150 ;
MATH 1452 | 001 | Calculus II with Applications | Methods of integration, parametric equations, polar coordinates, hyperbolic functions, infinite series. Applications and problem-solving are strongly emphasized. | 192988 | x | Matthew West | x | 200 ;
PHYS 1408 | 001 | Principles of Physics I | Calculus-based introductory physics covering mechanics, kinematics, energy, momentum, and thermodynamics. | 391829 | 29415 | Keith West | x | 200 ;
PHYS 1408 | 501 | 29415 | 391829 | Keith West | Ynes North | 200 ;
PHYS 1408 | 002 | Principles of Physics I | Calculus-based introductory physics covering mechanics, kinematics, energy, momentum, and thermodynamics. | 391812 | 29431 | Keith West | x | 200 ;
PHYS 1408 | 502 | 29431 | 391812 | Keith West | Richard Smith | 200 ;
ENGL 1302 | 001 | Advanced College Rhetoric | Focuses on writing from sources, research methods, and documentation. | 471726 | x | George Spyder | x | 75 ;
ENGL 1302 | 002 | Advanced College Rhetoric | Focuses on writing from sources, research methods, and documentation. | 475717 | x | Isaac Ivarson | x | 75 ;
ENGL 1302 | 003 | Advanced College Rhetoric | Focuses on writing from sources, research methods, and documentation. | 412837 | x | George Spyder | x | 75 ;
ENGL 1302 | 004 | Advanced College Rhetoric | Focuses on writing from sources, research methods, and documentation. | 475612 | x | Robert Scott | x | 75 ;
ENGL 1302 | 005 | Advanced College Rhetoric | Focuses on writing from sources, research methods, and documentation. | 416524 | x | George Spyder | x | 75 ;
